Time	Fx1	Fy1	Fz1	COPx1	COPy1	COPz1	Ty1	Fx2	Fy2	Fz2	COPx2	COPy2	COPz2	Ty2
1	-0	-0	-0	2149	0	976.7	-0	63.25	439.91	-50.89	2261.49	0	1383.34	7140.17
2	-0	-0	-0	2149	0	976.7	-0	73.78	438.39	-45.78	2264.54	0	1387.26	13786.9
3	-0	-0	-0	2149	0	976.7	-0	62.41	428.77	-49.29	2260.44	0	1386.07	7211.69
4	31.13	261.38	-5.19	2663.05	0	1182.47	1033.59	79.19	426.79	-47.23	2265.15	0	1385.27	10400.7
5	35.63	223.69	-63.25	2726.42	0	1169.77	-20235.4	64.24	420.53	-43.41	2248.1	0	1387.76	6786.09
6	21.21	173.19	-3.51	2587.93	0	1197.71	8286.56	68.28	412.6	-52.03	2253.85	0	1380.63	6005.86
7	14.88	151.82	17.7	2752.38	0	1211.83	6801.49	74.31	396.73	-46.62	2246.89	0	1379.25	9397.91
8	2.98	168.76	-55.69	2616.35	0	1156.42	-12165.4	66.83	389.25	-40.44	2256.04	0	1377.86	4950.19
9	-0	-0	-0	2149	0	976.7	-0	71.49	384.98	-44.94	2232.21	0	1379.16	6779.97
10	-0	-0	-0	2149	0	976.7	-0	76.6	360.26	-41.73	2235.5	0	1377.97	8517.16
11	-0	-0	-0	2149	0	976.7	-0	76.37	359.5	-27.08	2232.49	0	1382.34	8480.09
12	-22.89	203.86	-18.01	2673.66	0	1210.67	2416.24	75.23	337.83	-29.83	2229.76	0	1374.04	7209.54
13	-47.3	205.54	22.58	2666.78	0	1216.79	13426	84.38	328.98	-36.32	2241.34	0	1374.37	8652.9
14	-0	-0	-0	2149	0	976.7	-0	68.28	312.65	-20.22	2205.33	0	1374.52	8183.74
15	-24.11	219.12	-21.13	2679.66	0	1193.78	-6142.31	78.66	296.48	-20.98	2248.14	0	1364.1	6997.76
16	-35.48	208.44	-10.15	2647.33	0	1178.61	923.75	74.54	283.2	-36.09	2220.62	0	1357.65	9902.86
17	-4.2	218.96	16.02	2631.85	0	1186.54	-724.46	67.6	263.52	-21.44	2234.9	0	1351.23	8520.87
18	-23.96	219.27	-15.95	2668.1	0	1179.2	-4082.1	70.19	259.86	-15.87	2238.14	0	1357.37	4934.73
19	-21.97	219.27	-7.48	2619.24	0	1187.78	3577.54	68.89	228.58	-29.68	2225.48	0	1333.42	8043.25
20	-21.59	227.97	29.14	2635.53	0	1198.8	4003.85	67.83	227.36	-18.08	2222.07	0	1359.86	6554.09
21	-45.62	227.05	13.81	2619.1	0	1203.36	5985.02	66.76	205.38	3.43	2178.69	0	1371.66	6343.87
22	-30.36	231.78	16.17	2639.53	0	1218.78	6702.81	68.51	187.68	-11.98	2221.63	0	1353.07	7587.79
23	-0	-0	-0	2149	0	976.7	-0	61.65	170.44	-3.89	2128.91	0	1381.14	7613.5
24	-51.88	257.11	41.96	2614.28	0	1207.51	11253.2	64.77	156.4	6.56	2176.97	0	1375.18	9076.02
25	-35.78	271	21.97	2643.87	0	1194.23	-1639.38	49.74	133.36	0.99	2137.89	0	1372.71	4411.24
26	-60.5	292.05	36.62	2602.21	0	1194.44	4128.04	55.54	112.15	-8.09	2180.51	0	1343.33	10318.5
27	-44.1	316.47	39.6	2619.33	0	1173.62	-4648.23	36.7	94.91	-1.37	2095.96	0	1343.93	3494.85
28	-49.82	330.05	29.37	2597.45	0	1165.57	-6502.83	42.65	77.67	5.34	2160.97	0	1355.61	4487.42
29	-59.13	348.66	35.86	2589.48	0	1162.7	-175.32	26.02	56.15	-7.32	2075.52	0	1266.53	8257.74
30	-49.51	345.61	51.12	2610.91	0	1174.55	-1511.14	15.11	50.51	0.15	2014.82	0	1319.02	1486.88
31	-65.38	353.7	55.31	2581.52	0	1187.62	8902.29	19	40.59	7.93	2140.23	0	1317.84	1557.42
32	-52.11	358.73	43.87	2601.82	0	1182.9	7436.57	-0	-0	-0	2149	0	1465.7	-0
33	-55.92	362.4	56.15	2594.05	0	1198.97	10177.9	6.33	33.11	-1.14	2188.27	0	1278.46	3846.81
34	-63.4	369.57	52.57	2591.76	0	1195.99	10660.2	-0	-0	-0	2149	0	1465.7	-0
35	-52.41	381.62	40.97	2588.16	0	1192.13	5468.02	-0	-0	-0	2149	0	1465.7	-0
36	-60.5	399.78	44.78	2578.94	0	1187.38	5649.45	-0	-0	-0	2149	0	1465.7	-0
37	-54.32	402.37	37.69	2590.93	0	1170.54	-1255.5	-0	-0	-0	2149	0	1465.7	-0
38	-54.93	421.45	39.29	2566.96	0	1176.63	-728.2	-0	-0	-0	2149	0	1465.7	-0
39	-55.85	422.36	30.67	2576.5	0	1167.05	-3138.25	-0	-0	-0	2149	0	1465.7	-0
40	-50.2	433.35	43.11	2561.35	0	1171.9	3373.06	-0	-0	-0	2149	0	1465.7	-0
41	-51.27	430.3	38.38	2561.82	0	1173.16	767.96	-0	-0	-0	2149	0	1465.7	-0
42	-47.45	425.57	31.97	2565.36	0	1174.95	2289.77	-0	-0	-0	2149	0	1465.7	-0
43	-46.69	424.65	50.51	2550.69	0	1194.52	12187.4	-0	-0	-0	2149	0	1465.7	-0
44	-47	418.4	42.57	2561.68	0	1189.37	7901.59	-0	-0	-0	2149	0	1465.7	-0
45	-44.02	424.04	41.28	2550.07	0	1188.83	8795.85	-0	-0	-0	2149	0	1465.7	-0
46	-41.73	417.79	36.54	2551.81	0	1187.53	5393.44	-0	-0	-0	2149	0	1465.7	-0
47	-39.83	419.01	38.45	2543.71	0	1187.73	4695.29	-0	-0	-0	2149	0	1465.7	-0
48	-37.08	426.33	34.56	2548.77	0	1177.92	5545.49	-0	-0	-0	2149	0	1465.7	-0
49	-41.35	415.04	21.97	2539.56	0	1174.48	-901.57	-0	-0	-0	2149	0	1465.7	-0
50	-28.84	423.28	29.22	2522.38	0	1172.46	240.88	-0	-0	-0	2149	0	1465.7	-0
51	-35.25	415.95	28.23	2543.11	0	1173.55	3145.54	-0	-0	-0	2149	0	1465.7	-0
52	-29.83	415.34	24.57	2509.94	0	1174.34	1213.88	-0	-0	-0	2149	0	1465.7	-0
53	-25.25	413.21	31.2	2519.87	0	1175.93	4986.97	-0	-0	-0	2149	0	1465.7	-0
54	-28.61	407.87	31.36	2513.94	0	1179.86	5737.33	-0	-0	-0	2149	0	1465.7	-0
55	-19.99	403.44	35.78	2501.51	0	1189.83	5167.69	-0	-0	-0	2149	0	1465.7	-0
56	-26.63	397.64	34.18	2510.93	0	1189.13	7956.68	-0	-0	-0	2149	0	1465.7	-0
57	-18.92	396.73	35.4	2501.82	0	1186.58	6654.62	-0	-0	-0	2149	0	1465.7	-0
58	-18.69	386.81	36.7	2505.55	0	1192.32	5490.46	-0	-0	-0	2149	0	1465.7	-0
59	-21.59	392	32.5	2500.33	0	1183.37	4114.08	-0	-0	-0	2149	0	1465.7	-0
60	-14.88	380.71	30.14	2492.5	0	1181.78	1538.02	-0	-0	-0	2149	0	1465.7	-0
61	-15.11	391.08	30.75	2491.65	0	1170.21	2259.61	-0	-0	-0	2149	0	1465.7	-0
62	-15.26	375.67	26.4	2499.08	0	1174.54	53.09	-0	-0	-0	2149	0	1465.7	-0
63	-8.39	377.66	25.48	2474.04	0	1166.93	-3172.36	-0	-0	-0	2149	0	1465.7	-0
64	-16.48	371.4	36.09	2485.8	0	1177.54	7696.29	-0	-0	-0	2149	0	1465.7	-0
65	-8.01	361.33	31.2	2476.37	0	1174.4	3316.3	-0	-0	-0	2149	0	1465.7	-0
66	-10.99	362.09	37	2469.62	0	1178.87	5073.76	-0	-0	-0	2149	0	1465.7	-0
67	-12.51	346.68	41.28	2480.15	0	1194.66	9586.29	-0	-0	-0	2149	0	1465.7	-0
68	-5.11	348.66	38.53	2463.66	0	1185.03	3878.95	-0	-0	-0	2149	0	1465.7	-0
69	-13.05	340.12	40.74	2474.45	0	1193.33	9352.4	-0	-0	-0	2149	0	1465.7	-0
70	-5.49	340.88	35.78	2462.37	0	1183.01	4807.99	-0	-0	-0	2149	0	1465.7	-0
71	-2.9	337.22	35.63	2462.63	0	1186.98	548.43	-0	-0	-0	2149	0	1465.7	-0
72	-6.71	336	30.52	2467.23	0	1176.48	2796.64	-0	-0	-0	2149	0	1465.7	-0
73	-0.92	338.13	28.08	2452.57	0	1168.38	498.18	-0	-0	-0	2149	0	1465.7	-0
74	2.9	336.61	30.14	2458.2	0	1170.11	1117.61	-0	-0	-0	2149	0	1465.7	-0
75	-3.05	339.51	25.71	2445.81	0	1159.89	-887.12	-0	-0	-0	2149	0	1465.7	-0
76	5.19	330.35	30.06	2431.31	0	1174.21	1821.67	-0	-0	-0	2149	0	1465.7	-0
77	1.83	334.47	35.86	2442.51	0	1172.24	6776.9	-0	-0	-0	2149	0	1465.7	-0
78	0.31	325.93	31.74	2434.41	0	1180.39	5565.08	-0	-0	-0	2149	0	1465.7	-0
79	6.18	320.13	38.38	2427.17	0	1194.75	3912.09	-0	-0	-0	2149	0	1465.7	-0
80	-0.23	332.03	36.62	2435.75	0	1185.84	5477.79	-0	-0	-0	2149	0	1465.7	-0
81	9.23	308.07	32.35	2431.42	0	1198	4483.46	-0	-0	-0	2149	0	1465.7	-0
82	5.95	343.48	35.78	2433.44	0	1174.85	3928.77	-0	-0	-0	2149	0	1465.7	-0
83	1.75	312.5	22.96	2425.26	0	1185.36	279.6	-0	-0	-0	2149	0	1465.7	-0
84	19.07	343.78	28.38	2429.77	0	1164.25	-1922.02	-0	-0	-0	2149	0	1465.7	-0
85	-1.45	328.37	19.53	2422.17	0	1164.54	405.65	-0	-0	-0	2149	0	1465.7	-0
86	15.26	334.93	25.86	2423.62	0	1164.02	1719.25	-0	-0	-0	2149	0	1465.7	-0
87	9.38	343.32	23.42	2415.99	0	1155.17	-913.64	-0	-0	-0	2149	0	1465.7	-0
88	0.31	327.61	30.44	2417.16	0	1178.15	5822.47	-0	-0	-0	2149	0	1465.7	-0
89	19.68	337.22	32.88	2420.92	0	1172.83	2120.96	-0	-0	-0	2149	0	1465.7	-0
90	-0.08	330.2	29.83	2407.96	0	1172.79	5431.59	-0	-0	-0	2149	0	1465.7	-0
91	8.39	330.96	41.73	2401.62	0	1191.45	7822.35	-0	-0	-0	2149	0	1465.7	-0
92	16.94	331.73	33.49	2400.82	0	1179.67	1849.74	-0	-0	-0	2149	0	1465.7	-0
93	0.38	334.32	37.16	2405.38	0	1182.88	7576.99	-0	-0	-0	2149	0	1465.7	-0
94	17.7	339.2	33.95	2397.78	0	1175.82	2184.69	-0	-0	-0	2149	0	1465.7	-0
95	10.22	338.75	30.75	2404.77	0	1173.35	218.31	-0	-0	-0	2149	0	1465.7	-0
96	8.09	347.14	28.53	2396.78	0	1163.94	1256.04	-0	-0	-0	2149	0	1465.7	-0
97	18.16	348.51	26.32	2397.94	0	1159.31	-1595.26	-0	-0	-0	2149	0	1465.7	-0
98	6.64	350.95	27.01	2398.85	0	1158.44	1929.78	-0	-0	-0	2149	0	1465.7	-0
99	15.49	354.92	24.11	2388.78	0	1152.07	369.37	-0	-0	-0	2149	0	1465.7	-0
100	12.82	348.66	31.51	2387.41	0	1168.21	1919.93	-0	-0	-0	2149	0	1465.7	-0
101	7.78	353.85	32.12	2384.99	0	1161.22	8197.48	-0	-0	-0	2149	0	1465.7	-0
102	17.47	346.98	35.63	2395.23	0	1178.4	3894.86	-0	-0	-0	2149	0	1465.7	-0
103	7.55	344.54	36.7	2374.22	0	1180.94	6725.58	-0	-0	-0	2149	0	1465.7	-0
104	14.04	355.83	36.16	2395.39	0	1172.08	5457.03	-0	-0	-0	2149	0	1465.7	-0
105	9.54	344.54	38.15	2372.89	0	1187.75	6194.08	-0	-0	-0	2149	0	1465.7	-0
106	10.45	358.43	28.23	2385.24	0	1161.77	2514.94	-0	-0	-0	2149	0	1465.7	-0
107	12.59	363.31	28.61	2395.93	0	1162.01	-1203.41	-0	-0	-0	2149	0	1465.7	-0
108	8.47	358.89	23.12	2366.02	0	1157.82	-962.81	-0	-0	-0	2149	0	1465.7	-0
109	13.43	372.16	24.87	2393.94	0	1147.37	-515.31	-0	-0	-0	2149	0	1465.7	-0
110	5.65	363.16	26.7	2373.94	0	1155.29	2756.6	-0	-0	-0	2149	0	1465.7	-0
111	14.19	372.47	23.57	2376	0	1146.98	-475.21	-0	-0	-0	2149	0	1465.7	-0
112	7.1	364.23	30.59	2382.77	0	1161.23	3881.82	-0	-0	-0	2149	0	1465.7	-0
113	8.32	367.13	34.56	2365.22	0	1160.92	7192.91	-0	-0	-0	2149	0	1465.7	-0
114	9.46	364.69	36.7	2377.09	0	1168.47	6950.25	-0	-0	-0	2149	0	1465.7	-0
115	4.2	364.84	36.01	2369.04	0	1169.52	5484.64	-0	-0	-0	2149	0	1465.7	-0
116	12.66	365.14	34.64	2372.8	0	1167.01	2309.77	-0	-0	-0	2149	0	1465.7	-0
117	2.37	367.74	40.44	2369.76	0	1172.07	7599.9	-0	-0	-0	2149	0	1465.7	-0
118	6.71	372.31	28.31	2375.83	0	1154.51	1603.83	-0	-0	-0	2149	0	1465.7	-0
119	12.89	376.74	27.85	2378.39	0	1152.18	-2143.55	-0	-0	-0	2149	0	1465.7	-0
120	1.53	379.03	29.37	2364.68	0	1148.31	2109.13	-0	-0	-0	2149	0	1465.7	-0
121	15.64	383	22.2	2375.35	0	1139.65	-2094.41	-0	-0	-0	2149	0	1465.7	-0
122	7.02	386.66	31.2	2371.29	0	1145.33	4970.39	-0	-0	-0	2149	0	1465.7	-0
123	8.7	386.05	26.93	2364.59	0	1141.76	-237.59	-0	-0	-0	2149	0	1465.7	-0
124	14.27	387.12	34.03	2357.95	0	1151.95	2165.12	-0	-0	-0	2149	0	1465.7	-0
125	3.74	385.44	40.21	2365.22	0	1159.85	10327.6	-0	-0	-0	2149	0	1465.7	-0
126	16.02	390.47	38.76	2364.74	0	1157.62	3736.28	-0	-0	-0	2149	0	1465.7	-0
127	6.94	391.08	41.28	2356.72	0	1163.98	5807.52	-0	-0	-0	2149	0	1465.7	-0
128	6.26	397.19	35.78	2358.73	0	1156.49	3676.8	-0	-0	-0	2149	0	1465.7	-0
129	16.17	404.82	38.07	2349.03	0	1154.35	4130.44	-0	-0	-0	2149	0	1465.7	-0
130	6.87	408.63	34.79	2349.18	0	1148.72	3443.08	-0	-0	-0	2149	0	1465.7	-0
131	17.24	423.74	28	2349.5	0	1136.56	-2621.68	-0	-0	-0	2149	0	1465.7	-0
132	15.72	418.85	33.19	2346.83	0	1144.36	2209.5	-0	-0	-0	2149	0	1465.7	-0
133	14.88	433.96	33.34	2346.56	0	1138.33	1520.57	-0	-0	-0	2149	0	1465.7	-0
134	18.77	427.86	36.54	2339.81	0	1145.2	4735.69	-0	-0	-0	2149	0	1465.7	-0
135	23.73	442.05	38.22	2342.52	0	1141.8	3062.15	-0	-0	-0	2149	0	1465.7	-0
136	17.17	437.93	41.43	2324.15	0	1149.49	4810.69	-0	-0	-0	2149	0	1465.7	-0
137	23.96	436.71	45.32	2324.88	0	1154.46	8159.82	-0	-0	-0	2149	0	1465.7	-0
138	21.06	444.03	48.68	2329.3	0	1156.56	6692.52	-0	-0	-0	2149	0	1465.7	-0
139	29.07	438.84	44.25	2322.87	0	1155.94	5399.65	-0	-0	-0	2149	0	1465.7	-0
140	31.59	452.12	46.01	2311.4	0	1151.53	3940.54	-0	-0	-0	2149	0	1465.7	-0
141	29.6	445.1	48.37	2323.98	0	1159.91	4102.04	-0	-0	-0	2149	0	1465.7	-0
142	36.62	456.09	36.16	2312.77	0	1141.63	1557.83	-0	-0	-0	2149	0	1465.7	-0
143	34.56	454.41	36.47	2307.23	0	1142.81	-1365.32	-0	-0	-0	2149	0	1465.7	-0
144	39.67	458.37	36.77	2312.08	0	1140.2	1360.14	-0	-0	-0	2149	0	1465.7	-0
145	40.28	456.54	35.55	2294.98	0	1136.69	1483.63	-0	-0	-0	2149	0	1465.7	-0
146	40.44	457.76	42.65	2300.19	0	1143.43	4765.23	-0	-0	-0	2149	0	1465.7	-0
147	43.49	454.86	37.23	2293.84	0	1137.73	2715.04	-0	-0	-0	2149	0	1465.7	-0
148	46.46	447.54	46.77	2289.22	0	1150.46	3101.39	-0	-0	-0	2149	0	1465.7	-0
149	41.35	438.39	52.8	2282.37	0	1160.67	9069.19	-0	-0	-0	2149	0	1465.7	-0
150	53.02	438.39	52.64	2289.45	0	1157.01	6325.43	-0	-0	-0	2149	0	1465.7	-0
151	47.76	431.98	50.05	2273.62	0	1159.49	4089.61	-0	-0	-0	2149	0	1465.7	-0
152	50.81	431.98	44.48	2275.7	0	1152.23	1024.12	-0	-0	-0	2149	0	1465.7	-0
153	59.43	424.5	49.97	2292.08	0	1157.1	4439.05	32.42	135.65	-2.29	2686.11	0	1271.16	1864.79
154	50.66	429.08	38.6	2259.59	0	1140.01	2439	43.03	307.01	19.76	2633.61	0	1316.52	-3860.44
155	61.57	430.91	34.48	2275.51	0	1135.04	-1701.54	16.56	197.14	68.36	2702.27	0	1311.81	14546
156	59.13	418.09	36.93	2286.16	0	1132.93	3218.39	36.47	171.51	-0.99	2628.7	0	1253.76	-8398.21
157	62.71	414.28	36.16	2247.81	0	1133.35	192.36	4.12	134.58	9.38	2811.36	0	1228.45	-938.1
158	62.18	392.46	38.22	2258.22	0	1146.61	4905.43	2.06	154.72	59.2	2655.12	0	1263.5	21848.1
159	63.63	397.64	37.16	2261.38	0	1131.11	5431.15	14.72	160.37	-6.1	2730.11	0	1246.9	-14630.3
160	72.02	359.95	45.32	2235.13	0	1162.04	1633.28	-16.56	188.9	-15.41	2664.16	0	1271.49	-10615.3
161	66.99	368.04	44.63	2247.75	0	1156.02	8107.85	-19	209.35	36.01	2629.56	0	1294.55	11635.1
162	68.97	340.27	43.33	2239.3	0	1162.96	6838.83	-25.33	213.17	17.93	2671.99	0	1308.57	668.1
163	77.51	330.35	43.72	2231.36	0	1165.25	766.31	-45.78	220.95	2.67	2627.66	0	1293.65	6959.93
164	60.88	328.22	26.93	2246.3	0	1143.93	3653.32	-31.2	229.34	52.8	2654.28	0	1329.58	25191.8
165	76.14	299.22	23.8	2213.96	0	1157.51	5226.56	-41.5	241.39	26.47	2631	0	1314.49	4539.52
166	74.31	303.34	28.69	2243.02	0	1142.06	366.78	-27.77	228.58	-18.84	2700.85	0	1274.39	-11710.9
167	57.14	275.73	7.25	2227.43	0	1133.1	1785.38	-19.68	256.81	23.42	2652.01	0	1301.72	3305.29
168	80.87	268.86	7.93	2216.51	0	1135.96	3038.52	-26.32	253.3	10.45	2704.31	0	1278.9	-1350.76
169	59.74	245.67	14.34	2251.41	0	1141.72	3858.46	-15.87	280.15	-15.87	2646.41	0	1288.73	3325.35
170	62.94	233.61	10.53	2204.05	0	1147.34	4893.74	-33.49	273.44	3.66	2658.32	0	1288.98	2028.66
171	65.16	210.88	3.51	2213.4	0	1156.16	2836.49	-39.75	292.51	8.32	2641.22	0	1313.2	11115.6
172	51.88	193.79	3.43	2217.43	0	1155.82	6388.87	-41.28	274.66	-18.69	2626.3	0	1295.32	9011.96
173	58.82	175.93	13.5	2183.07	0	1183.9	1573.81	-48.14	290.68	-17.7	2642	0	1314.09	901.96
174	45.78	149.99	-0.76	2208.21	0	1193.19	5395.22	-50.13	293.43	-2.75	2610.14	0	1326.34	14144.2
175	43.49	139.62	0.38	2194.44	0	1175.54	5254.82	-35.4	289.46	-35.4	2647.27	0	1304.65	2786.55
176	51.12	116.12	-0.08	2208.03	0	1199.2	-1895.25	-47.45	307.92	-26.32	2593.76	0	1322.14	4426.04
177	29.6	96.28	-7.4	2198.14	0	1202.44	4612.99	-30.14	300.14	-19.76	2652.68	0	1301.38	12234.3
178	35.4	87.59	-9.16	2275.27	0	1175.51	1880.39	-39.6	309.91	-43.79	2641.86	0	1297.3	-4716.59
179	29.98	70.5	-9.54	2145.42	0	1157.54	1631.11	-37.61	304.41	-41.12	2654.67	0	1297.9	-1539.39
180	14.34	61.19	-11.98	2258	0	1132.26	3498.64	-38.83	313.26	-33.57	2641	0	1294.89	2204.12
181	19.45	44.71	-15.95	2230.27	0	1111.46	3737.38	-48.98	310.52	-34.26	2628.45	0	1302.75	-304.93
182	-0	-0	-0	2149	0	976.7	-0	-38.99	322.42	-43.33	2641.98	0	1301.69	-976.13
183	-0.23	31.43	-9	2297.43	0	1152.95	4023.93	-50.58	324.86	-33.65	2609.93	0	1303.2	-138.67
184	-0	-0	-0	2149	0	976.7	-0	-41.89	343.93	-22.66	2611.15	0	1323.73	13495.8
185	-0	-0	-0	2149	0	976.7	-0	-48.75	350.34	-39.29	2595.34	0	1313.94	4698.39
186	-0	-0	-0	2149	0	976.7	-0	-46.16	360.26	-24.03	2602.77	0	1325.02	9875.19
187	-0	-0	-0	2149	0	976.7	-0	-51.04	368.65	-27.92	2598.58	0	1317.66	4978.22
188	-0	-0	-0	2149	0	976.7	-0	-45.85	382.84	-37.16	2587.34	0	1319.04	7113.98
189	-0	-0	-0	2149	0	976.7	-0	-48.37	385.28	-30.67	2626.29	0	1311.66	2640.6
190	-0	-0	-0	2149	0	976.7	-0	-52.26	391.85	-34.71	2594.97	0	1304.43	-2787.98
191	-0	-0	-0	2149	0	976.7	-0	-44.17	399.93	-37	2608.96	0	1305.56	1449.52
192	-0	-0	-0	2149	0	976.7	-0	-50.96	404.97	-35.1	2600.24	0	1305.08	-2867.62
193	-0	-0	-0	2149	0	976.7	-0	-43.26	416.41	-26.55	2582.73	0	1312.18	6518.09
194	-0	-0	-0	2149	0	976.7	-0	-49.06	412.45	-31.2	2593.57	0	1307.55	2573.28
195	-0	-0	-0	2149	0	976.7	-0	-43.64	431.21	-31.74	2575.72	0	1318.97	3323.4
196	-0	-0	-0	2149	0	976.7	-0	-43.79	421.14	-16.02	2568.02	0	1320.99	12486.4
197	-0	-0	-0	2149	0	976.7	-0	-44.63	436.71	-27.01	2564.59	0	1322.64	4610.94
198	-0	-0	-0	2149	0	976.7	-0	-40.36	428.62	-26.25	2563.93	0	1320.1	7606.12
199	-0	-0	-0	2149	0	976.7	-0	-35.63	430.3	-22.13	2562.37	0	1319.9	10372.3
200	-0	-0	-0	2149	0	976.7	-0	-43.87	428.77	-25.18	2555.37	0	1321.16	4552.18
201	-0	-0	-0	2149	0	976.7	-0	-31.2	423.58	-34.18	2568.07	0	1308.53	2608.48
202	-0	-0	-0	2149	0	976.7	-0	-34.87	431.37	-33.49	2566.5	0	1309.41	3657.69
203	-0	-0	-0	2149	0	976.7	-0	-34.94	418.24	-32.42	2566.97	0	1306.04	1422.4
204	-0	-0	-0	2149	0	976.7	-0	-26.78	428.31	-37.69	2559.07	0	1311.14	1440.51
205	-0	-0	-0	2149	0	976.7	-0	-39.14	423.43	-30.9	2534.24	0	1314.54	3576.15
206	-0	-0	-0	2149	0	976.7	-0	-23.65	428.16	-29.91	2547.96	0	1317.33	4019.42
207	-0	-0	-0	2149	0	976.7	-0	-34.94	415.5	-27.08	2516.63	0	1320.1	7325.03
208	-0	-0	-0	2149	0	976.7	-0	-22.58	420.07	-27.92	2535.23	0	1323.58	9891.11
209	-0	-0	-0	2149	0	976.7	-0	-26.78	410.46	-25.25	2523.56	0	1322.37	5746.31
210	-0	-0	-0	2149	0	976.7	-0	-23.27	410.31	-30.44	2508.1	0	1325.47	6892.13
211	-0	-0	-0	2149	0	976.7	-0	-19.76	397.19	-32.27	2547.06	0	1312.07	5935.12
212	-0	-0	-0	2149	0	976.7	-0	-19	399.48	-31.74	2520.71	0	1319.04	2772.9
213	-0	-0	-0	2149	0	976.7	-0	-15.11	390.32	-40.74	2549.44	0	1300.66	2866.84
214	-0	-0	-0	2149	0	976.7	-0	-24.8	388.79	-39.83	2521.2	0	1306.16	-649.44
215	-0	-0	-0	2149	0	976.7	-0	-12.13	391.08	-41.2	2531.09	0	1304.56	-166.97
216	-0	-0	-0	2149	0	976.7	-0	-18.31	379.94	-36.77	2517.03	0	1304.54	2365.84
217	-0	-0	-0	2149	0	976.7	-0	-10.45	403.44	-28.23	2487.34	0	1331.89	10360.1
218	-0	-0	-0	2149	0	976.7	-0	-13.89	377.81	-29.37	2511.78	0	1314.86	7244.33
219	-0	-0	-0	2149	0	976.7	-0	-8.32	397.8	-26.09	2484.74	0	1335.07	10181.4
220	-0	-0	-0	2149	0	976.7	-0	-10.91	381.93	-19.45	2462.47	0	1338.78	11723.7
221	-0	-0	-0	2149	0	976.7	-0	-5.11	388.79	-19	2475.49	0	1343.17	13527.9
222	-0	-0	-0	2149	0	976.7	-0	-15.87	372.62	-25.79	2469	0	1328.46	6206.59
223	-0	-0	-0	2149	0	976.7	-0	-3.74	364.53	-39.29	2504.6	0	1304.93	1524.38
224	-0	-0	-0	2149	0	976.7	-0	-10.91	366.06	-34.64	2481.73	0	1316.81	2952.43
225	-0	-0	-0	2149	0	976.7	-0	-11.75	355.99	-38.68	2498.05	0	1304.37	-3870.98
226	-0	-0	-0	2149	0	976.7	-0	0.76	360.87	-36.09	2491.15	0	1308.36	6261.32
227	-0	-0	-0	2149	0	976.7	-0	-6.79	356.6	-35.4	2491.33	0	1307.45	2368.61
228	-0	-0	-0	2149	0	976.7	-0	0.92	361.94	-26.25	2477.37	0	1323.23	9557.1
229	-0	-0	-0	2149	0	976.7	-0	-4.2	354	-19.38	2443.3	0	1335.79	9043.61
230	-0	-0	-0	2149	0	976.7	-0	2.52	363.31	-19.99	2455.32	0	1340.49	8491.15
231	-0	-0	-0	2149	0	976.7	-0	1.07	351.72	-17.7	2449.22	0	1336.8	14553.5
232	-0	-0	-0	2149	0	976.7	-0	-0	352.94	-23.73	2457.82	0	1332.42	5253.38
233	-0	-0	-0	2149	0	976.7	-0	1.07	347.6	-23.12	2438.16	0	1336.1	6721.57
234	-0	-0	-0	2149	0	976.7	-0	5.04	345.76	-33.26	2470.75	0	1320.34	5321.26
235	-0	-0	-0	2149	0	976.7	-0	-0.53	339.66	-35.32	2460.48	0	1314.17	-1379.05
236	-0	-0	-0	2149	0	976.7	-0	5.04	338.59	-34.03	2454.45	0	1318.17	5382.1
237	-0	-0	-0	2149	0	976.7	-0	1.91	340.88	-41.89	2455.17	0	1311.27	-2216.52
238	-0	-0	-0	2149	0	976.7	-0	6.26	336.3	-33.95	2457.26	0	1317.33	3541.18
239	-0	-0	-0	2149	0	976.7	-0	3.97	337.68	-40.66	2454.78	0	1313.54	1790.47
240	-0	-0	-0	2149	0	976.7	-0	2.37	333.56	-38.3	2444.71	0	1318.37	-743.76
241	-0	-0	-0	2149	0	976.7	-0	16.78	345.31	-28.08	2464.05	0	1335.52	13104.5
242	-0	-0	-0	2149	0	976.7	-0	0.69	331.73	-34.18	2435.42	0	1320.89	5003.06
243	-0	-0	-0	2149	0	976.7	-0	16.25	347.6	-29.75	2455.32	0	1339.55	9350.9
244	-0	-0	-0	2149	0	976.7	-0	-1.75	345.15	-23.5	2401.53	0	1350.25	10313.1
245	-0	-0	-0	2149	0	976.7	-0	16.17	350.8	-26.4	2438.38	0	1343.61	12655.1
246	-0	-0	-0	2149	0	976.7	-0	3.2	342.71	-24.72	2417.8	0	1347.53	10168.4
247	-0	-0	-0	2149	0	976.7	-0	5.11	361.94	-25.56	2393.23	0	1354.67	8514.75
248	-0	-0	-0	2149	0	976.7	-0	7.93	349.73	-22.66	2412.69	0	1352.8	7766.54
249	-0	-0	-0	2149	0	976.7	-0	3.66	361.48	-25.18	2379.42	0	1354.55	9274.38
250	-0	-0	-0	2149	0	976.7	-0	15.56	358.89	-27.92	2432.64	0	1346.14	8296.89
251	-0	-0	-0	2149	0	976.7	-0	3.59	355.99	-29.68	2398.92	0	1344.93	4225.15
252	-0	-0	-0	2149	0	976.7	-0	11.14	364.84	-30.82	2416.5	0	1343.78	7385.88
