Time	RPelvisAngleX	RPelvisAngleY	RPelvisAngleZ	LPelvisAngleX	LPelvisAngleY	LPelvisAngleZ	RHipAngleX	RHipAngleY	RHipAngleZ	LHipAngleX	LHipAngleY	LHipAngleZ	RKneeAngleX	RKneeAngleY	RKneeAngleZ	LKneeAngleX	LKneeAngleY	LKneeAngleZ	RAnkleAngleX	RAnkleAngleY	RAnkleAngleZ	LAnkleAngleX	LAnkleAngleY	LAnkleAngleZ	RFootAngleX	RFootAngleY	RFootAngleZ	LFootAngleX	LFootAngleY	LFootAngleZ
0	2.14757	1.23473	14.4826	-1.21493	4.03814	15.752	3.45172	-0.77255	35.0855	-2.6311	-9.59164	36.654	-1.87918	-21.8616	-2.01539	-0.201777	-9.48604	-0.0379267	6.15755	6.43886	1.20289	4.00541	14.2722	1.49663	5.92987	14.1629	25.8125	3.96953	2.34852	23.5844
1	2.41007	1.41581	14.3911	-0.942193	4.3076	15.6867	3.5194	-0.607682	35.4258	-2.6288	-9.14707	37.1266	-1.50059	-21.6796	-0.152248	-0.0803656	-9.41555	2.1543	6.23484	6.84329	0.921217	3.91578	14.812	1.35295	6.44217	13.0455	24.0587	4.29221	0.920638	21.7435
2	2.71087	1.56375	14.2565	-0.563532	4.57859	15.5385	3.66054	-0.431375	35.5405	-2.50089	-8.6598	37.2356	-1.14433	-21.7226	1.61313	0.05024	-9.71278	4.08872	6.48497	7.12684	-0.0460817	4.06842	15.4478	0.50707	7.28984	12.277	21.6403	4.95667	-0.37318	19.2585
3	3.06631	1.65898	14.1074	-0.0915778	4.83867	15.3346	3.89095	-0.176377	35.4611	-2.25172	-8.12776	37.0288	-0.839525	-21.9796	3.17903	0.169003	-10.4188	5.71	6.81999	7.20039	-1.71327	4.41914	16.1569	-1.1136	8.35548	11.8588	18.6092	5.89616	-1.46042	16.1157
4	3.48691	1.67611	13.9795	0.434176	5.07415	15.1212	4.20582	0.218543	35.298	-1.93394	-7.54916	36.6768	-0.542247	-22.2426	4.66259	0.297026	-11.2649	7.22442	7.03005	6.94827	-3.56627	4.7233	16.6964	-3.00231	9.28009	11.6339	15.3071	6.77011	-2.32496	12.652
5	3.96162	1.60317	13.8872	0.950549	5.28114	14.9339	4.56535	0.739782	35.1976	-1.64274	-6.96874	36.4106	-0.131353	-22.1353	6.35467	0.508563	-11.6929	9.03465	6.94628	6.21118	-4.84494	4.72716	16.6548	-4.28183	9.70572	11.4206	12.1909	7.1726	-2.99723	9.42112
6	4.45635	1.45482	13.8006	1.39587	5.46926	14.7681	4.9155	1.2666	35.2467	-1.46243	-6.51214	36.3952	0.488662	-21.4303	8.45289	0.863532	-11.2866	11.4197	6.42875	5.02225	-5.15563	4.28396	15.8525	-4.4317	9.44126	11.1109	9.51766	6.89879	-3.52622	6.78756
7	4.92922	1.26734	13.6666	1.74214	5.64969	14.5849	5.23083	1.63136	35.394	-1.39914	-6.34303	36.6079	1.2779	-20.2918	10.8443	1.32028	-10.1212	14.2502	5.34479	3.77998	-4.65744	3.29624	14.5808	-3.60039	8.47834	10.6555	7.32177	5.97141	-3.95121	4.8147
8	5.34047	1.08228	13.4498	1.99096	5.82474	14.3415	5.51729	1.73289	35.4695	-1.38633	-6.55537	36.8336	2.08423	-19.1516	13.1999	1.74591	-8.66391	17.0925	3.71332	2.98473	-3.76253	1.82198	13.3717	-2.26957	6.98335	10.0895	5.53555	4.60047	-4.26826	3.40479
9	5.65869	0.933357	13.1483	2.15426	5.99124	14.0168	5.78361	1.58442	35.2907	-1.35049	-7.12189	36.7917	2.75628	-18.3894	15.2113	2.01793	-7.46035	19.5042	1.7981	2.86614	-2.76612	0.146262	12.6874	-0.826611	5.26084	9.54146	4.09771	3.10604	-4.45892	2.42833
10	5.87021	0.844562	12.787	2.25327	6.14781	13.6185	6.02832	1.26642	34.7597	-1.24763	-7.93254	36.2904	3.21411	-18.1155	16.7194	2.09232	-6.87164	21.2142	0.00967667	3.31436	-1.74669	-1.36604	12.7719	0.561306	3.66872	9.13402	2.99785	1.78346	-4.54736	1.77826
11	5.98117	0.831868	12.4078	2.31884	6.29566	13.1811	6.24549	0.865227	33.8929	-1.05978	-8.84602	35.3076	3.44636	-18.188	17.7099	2.00033	-6.95614	22.1612	-1.35541	4.05186	-0.704743	-2.47707	13.5753	1.84158	2.43395	8.88921	2.22007	0.785589	-4.58306	1.36251
